"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"XWrQACWiQh4","#foryou #answer #subscribe #duet #mentalhealthawareness #love #mentalhealth #mentalhealthmatters","Relationship world ",2025-11-08,31469,475,34,NA,"PT7S"
"zyEvX9Zd6zE","“This is how Obsessive-Compulsive Disorder (OCD) looks.” #shorts #youtubeshorts #ocd","Shakir Adam",2024-07-27,96236,NA,87,NA,"PT26S"
"E5sFCThnOO0","The Reality of Mental Health ✨ | Deepika Padukone","Learn with NAP",2024-05-14,124227,4159,22,"shorts, shortsviral, learnwithnap, motivation, success, trending, trendingshorts, viral, inspiration, ytshorts, speech, ambition, believeinyourself, beyourself, liferules, motivationalspeech, trendingonshorts, motivational, happiness, deepikapadukone, mental health, health, self love, care","PT35S"
"SqTOMCceiAE","Joe Marler brilliantly explains how mental health in rugby has changed","JOE",2022-10-11,57168,1111,31,"joe marler, england rugby, rugby union, joe marler mental health, mental health rugby, joe marler show, joe marler podcast, joe marler funny, joe marler james haskell, house of rugby joe marler, house of rugby japan, house of rugby zara, joe marler interview, rugby union highlights, rugby union rules, rugby union vs rugby league, mental health, mental health day, mental health nursing, rugby motivation, rugby motivational video, rugby motivational speech","PT50S"
"j7swEGJacK8","Mental health meaning #mentalhealth #awareness #learning #tamil #psychologist #counselling #need","The Active Mind🌟",2024-09-23,3441,67,3,NA,"PT1M"
"L-1iUZasu2k","Mental Health Day Drawing | Mental Health Day Poster | Stay Healthy Drawing","Crafts A2Z",2024-10-09,24420,258,9,"mental health day drawing, mental health day poster, mental health awareness drawing","PT59S"
"tKrE4OtlndI","Mental health vs Physical health awareness in society | Dr Kashika Jain | Hindi","Dr Kashika Jain : Psychologist",2017-09-21,8817,236,25,"Best psychiatrist in meerut, Best psychiatrist near me, Best psychologist in meerut, Best counselor in meerut, Mental health clinic, depression treatment, anxiety treatment, Therapist in meerut, Ocd treatment, Insomnia treatment, Stress treatment, Anger treatment, Phobia treatment, Addiction treatment, Dr kashika jain, mental health awareness, physical health vs mental health, world mental health day 10 october, depression in youth, who on depression, mental health, mind","PT6M59S"
"qMYWILIljrA","Mental Health Awareness Poster #worldmentalhealthday #mentalhealth #mentalhealthmatters","Dihar Gupta",2021-10-10,47474,543,5,NA,"PT12S"
"WWFxnE0tRRs","#subscribe #answer #foryou #reels #duet #mentalhealthawareness #mentalhealthmatters #mentalhealth","Relationship world ",2025-10-24,3395,152,24,NA,"PT12S"
"ifs_7p0jbNU","Applying For Disability #selfmotivation #bipolar #mentalhealthawareness #mentalhealth","Journie On The Go-Go",2025-09-22,20,5,3,NA,"PT2M46S"
"MTAAqguAS-I","Should Men vent to their Woman? - Mental health awareness #wydoepodcast #onlythereal","WyDoe Podcast",2025-11-12,770,10,1,NA,"PT1M27S"
"_OTVL2VfqgQ","What selfish people are like #friendships #mentalhealthawareness #girls #anxiety","Micaela",2025-10-25,177718,5566,59,NA,"PT57S"
"g7iLrjGCo4U","Psych Meds Keep It Real #mentalhealth #schizophrenia  #mentalhealthmatters","SchizophrenicNYC",2025-11-11,3743,216,23,NA,"PT29S"
"Ou1baDubjEI","Mentally Weak ആണോ..? #kerala #malayalam #mentalhealth #keralagram #mallu #viral #viralvideo #trend","Dear Dentist",2023-06-22,299712,7813,109,NA,"PT13S"
"YHDFpiIZ6Ds","Men’s Mental Health: Suffering in Silence #mentalhealth #mentalhealthawareness #fyp","Carlos Granados",2025-09-04,895,10,1,"mental health, mental health center kids, mental health nursing, mental health awareness, mental health subliminal, mental health quiet riot, mental health song, mental health podcast, mental health hotline ringtone, mental health motivation, mental health documentary, mental health core, mental health ted talk, mental health awareness short film","PT37S"
"KcKm_53uhjc","Mental Health Awareness ROFLMAO!! #military #army #duet #hopefor22aday #onthisday","Sunflower Queen💜🌻",2025-01-12,2279546,226765,3537,NA,"PT30S"
"E5LIF77ySE4","Mental Health | 4 Powerful Ways to Improve It | Mental Health Awareness| Comprehension Passage","English With Asha Mam",2025-09-27,3408,263,22,"English padhna kaise sikhe, English bolna kaise sikhe, angreji bolna kaise sikhe, English translation with hindi meaning, English book padhna kaise sikhe, english padhna kaise sikhe, reading comprehension, passage reading, comprehension, spoken english, reading, motivational story, motivational, english reading, english reading practice, story on happiness, short motivational story, self improvement, life changing story, nothing is free, nothing is free motivation","PT24M52S"
"nER2Xshv4Ak","Child Mental Health Awareness Seminar | Dr. Mahesh Gandhi, Psychiatrist and Homeopath","theothersong",2012-08-09,8985,200,4,"An, awareness, seminar, on, child, health, 8th, July, 2012, Homoeopathy, in, behavioural, disorder, By, Dr, Mahesh, Gandhi","PT13M37S"
"GhzjitTlwbU","Let’s Learn Empathy 💜 Celebrate Mental Health Awareness Month with @Lingokids #forkids","Lingokids Official Channel",2024-04-19,411663,6116,0,"mental health awareness month, mental health for kids, mental health at school, cartoons for kids, lingokids cartoons, lingokids cartoons for kids, cartoons, cartoons episodes, episodes for kids, cartoons for toddlers, lingokids cartoons for toddlers, lingokids, lingo kids, shorts for kids, cartoons shorts, lingokids shorts, baby bot series, baby bot, lingokids baby bot, baby bot cartoons, what's the music, what's music, educational cartoons","PT59S"
"ThUuMA2eSYs","Speech on Importance of Mental Health in English / Mental Health awareness short speech","Namrata Education",2023-10-08,37205,474,12,"speech on importance of mental health in english, Mental Health Awareness speech in 100 words, mental health awareness speech, speech on mental health, mental health awareness, mental health","PT8M16S"
"VKtdinXAS34","Control your mind: Powerful Tips for Mental Health & Control","Gurjeet Singh",2024-08-12,75925,2931,7,"Mental health, Stress release, Improve mental health, Meditation, Excersise, Relationship, Success man, Dhoni, Rohit Sharma, Positive mindset training, Boost mental well-being, Mindfulness practices, How to control your thoughts, Mental health tips, Healthy relationships, Self-care for mental health, Meditation tips, Control your mind, Master your mind","PT37S"
"k9cDrZGYQ_Y","Tips & Help to Improve Mental Health | overthinking | paststress #mindset   #motivation #mindset","The Inner Spark ",2025-09-07,1522,19,2,"Motivational Quotes, Life Changing Quotes, Hindi Motivation Positive Thinking, Life Lessons, Inspirational Shorts, Mindset Motivation, Self Growth, Motivation for Life, Daily Motivation, Inner Strength, Power of Thoughts, Mental Resilience, Change Your Mindset, Hindi Motivational Quotes, Zindagi Ke Anmol Vichar, Soch, Badlo Zindagi Badlegi, Prerna Dayak Vichar, Jeevan Ki Seekh, Safalta Ke Mantra, Manobal Badhayein, Manav Mulya, Sakaratmak Soch, Aatm-vishwas, Man Ki Shakti","PT14S"
"F3KEMnk3WPA","Balloon Awareness Ribbon: Mental Health Awareness","Liz Poppin Balloons ",2022-05-11,7708,224,11,NA,"PT5M26S"
"KufJmFfIneY","3 Papa Roach Songs That Help Mental Health #mentalhealth #mentalhealthawareness","Papa Roach",2024-12-14,38639,3044,139,"papa roach, rock music, music, rock n roll, jacoby shaddix, tobin esperance, jerry horton, tony palermo, alternative hits, last resort, papa roach last resort, papa roach scars, papa roach born for greatness, papa roach help, papa roach kill the noise, papa roach to be loved, papa roach stand up, papa roach swerve, papa roach dying to believe, papa roach falling apart, papa roach between angels and insects, papa roach getting away with murder, leave a light on","PT32S"
"xuGKZH0FY-g","Absolutely surreal, almost there. #SH #clean #fyp #shorts #pov #mentalhealth #awareness","Suneye ",2025-11-11,30273,1843,69,NA,"PT11S"
"zQi-F6_hSZM","The Hidden OCD: When You Stop Doing Things #mentalhealthawareness #ocd #psychiatrist","Vazhikatti Mental Health Centre",2025-07-05,3238,47,0,NA,"PT50S"
